"curly","dot.location","eqeqeq","vars.on.top","no.unused.vars","no.use.before.define","id.length","semi","max.len","max.statements","max.statements.per.line","no.bitwise","LOC","SLOC","comment","mixLOC","emptyLine","codePerLine","mixLOC.1","paremeter","Url","X1","X2","X3"
1,0,0,8,0,0,14,0,3,1,0,0,271,243,28,0,0,23.9372693726937,0,0,"http://rosettacode.org//wiki/Knapsack_problem/0-1",0.343529064055028,0,0.657120387845751
0,0,1,3,0,5,0,0,2,1,0,0,62,60,2,1,1,31.241935483871,1,1.5,"http://rosettacode.org//wiki/Text_processing/1",0.343720637258333,0.537230377286976,0.119115361755141
4,0,0,4,1,0,4,1,0,0,0,0,8,8,3,3,0,40.25,3,0,"http://rosettacode.org//wiki/100_doors",0,0.805159490024391,0.194857961313742
0,0,0,0,0,2,12,2,0,0,0,0,36,31,5,0,0,31.75,0,0,"http://rosettacode.org//wiki/100_doors",0.0804494936588403,0.78085975010713,0.138698561769564
0,0,0,2,0,0,0,0,0,0,0,1,6,6,0,0,0,25.5,0,0,"http://rosettacode.org//wiki/100_doors",0.00818783748256359,0.988993605063733,0.00275604373659614
0,0,0,1,1,0,0,0,0,0,0,0,3,3,1,1,0,32,1,0,"http://rosettacode.org//wiki/100_doors",0,0.940124718132797,0.0598362478182164
0,2,0,0,0,0,2,0,0,0,0,1,12,12,0,0,0,21.5833333333333,0,0,"http://rosettacode.org//wiki/100_doors",0.0310565959076511,0.95843543908221,0.01045371709118
0,0,0,0,0,4,7,0,0,0,0,0,28,28,0,0,0,24.8928571428571,0,0,"http://rosettacode.org//wiki/100_doors",0.0920399517078922,0.876946996464804,0.0309808460367395
0,0,0,0,0,1,5,0,0,0,0,0,14,13,1,0,0,23.5714285714286,0,0,"http://rosettacode.org//wiki/100_doors",0.0302630881928491,0.937180778745237,0.0325104384613847
0,0,0,0,0,1,5,0,0,0,0,0,11,10,1,0,0,23.8181818181818,0,0,"http://rosettacode.org//wiki/100_doors",0.0188287089803028,0.952459861736002,0.0286616017840918
3,0,2,7,0,1,0,1,1,1,0,0,46,44,2,1,1,33.2608695652174,1,1.5,"http://rosettacode.org//wiki/Text_processing/2",0.28273728145809,0.618718819904385,0.098588232809581
5,5,0,3,0,0,4,0,4,0,0,0,49,45,4,0,0,34.8367346938776,0,2,"http://rosettacode.org//wiki/24_game",0.138414897436371,0.725718995490281,0.135886023785822
0,0,0,1,0,0,0,0,0,0,0,0,11,11,0,0,0,25,0,0,"http://rosettacode.org//wiki/99_Bottles_of_Beer",0.0272451361701365,0.963528466745797,0.00917077153208266
0,0,0,0,0,0,1,0,1,0,0,0,10,9,0,0,1,35.1,0,2,"http://rosettacode.org//wiki/99_Bottles_of_Beer",0.163463420185652,0.836517621496335,0
1,0,3,0,0,0,0,0,1,0,0,0,3,2,1,0,0,118,0,0,"http://rosettacode.org//wiki/99_Bottles_of_Beer",0,0.984624351684013,0.0153173687222686
0,0,0,1,0,0,0,0,0,0,0,0,20,20,0,0,0,24.25,0,1,"http://rosettacode.org//wiki/99_Bottles_of_Beer",0.061548273807773,0.917691217773505,0.0207172815639602
1,0,1,1,0,0,6,1,1,0,0,0,16,16,0,0,0,28.9375,0,1,"http://rosettacode.org//wiki/99_Bottles_of_Beer",0.046302434857712,0.938063328427857,0.0155854993275701
