"curly","dot.location","eqeqeq","vars.on.top","no.unused.vars","no.use.before.define","id.length","semi","max.len","max.statements","max.statements.per.line","no.bitwise","LOC","SLOC","comment","mixLOC","emptyLine","codePerLine","mixLOC.1","paremeter","Url","X1","X2","X3","X4"
1,0,0,8,0,0,14,0,3,1,0,0,271,243,28,0,0,23.9372693726937,0,0,"http://rosettacode.org//wiki/Knapsack_problem/0-1",0,0,1.00071193268786,0
0,0,1,3,0,5,0,0,2,1,0,0,62,60,2,1,1,31.241935483871,1,1.5,"http://rosettacode.org//wiki/Text_processing/1",0.0182496301733416,0.649191164661541,0.155458997590549,0.177172283199937
4,0,0,4,1,0,4,1,0,0,0,0,8,8,3,3,0,40.25,3,0,"http://rosettacode.org//wiki/100_doors",0.118423886038608,0.881664850958753,0,0
0,0,0,0,0,2,12,2,0,0,0,0,36,31,5,0,0,31.75,0,0,"http://rosettacode.org//wiki/100_doors",0.00293799237894819,0.844376426490118,0.152645883465733,0
0,0,0,2,0,0,0,0,0,0,0,1,6,6,0,0,0,25.5,0,0,"http://rosettacode.org//wiki/100_doors",0,0.995321335147297,0.00354244848680462,0.0010209593280021
0,0,0,1,1,0,0,0,0,0,0,0,3,3,1,1,0,32,1,0,"http://rosettacode.org//wiki/100_doors",0.0386761636215255,0.961275468955857,0,0
0,2,0,0,0,0,2,0,0,0,0,1,12,12,0,0,0,21.5833333333333,0,0,"http://rosettacode.org//wiki/100_doors",0,0.971554304737747,0.022001036001802,0.00634085802952952
0,0,0,0,0,4,7,0,0,0,0,0,28,28,0,0,0,24.8928571428571,0,0,"http://rosettacode.org//wiki/100_doors",0,0.908175556978947,0.0712239360417942,0.0205272545669357
0,0,0,0,0,1,5,0,0,0,0,0,14,13,1,0,0,23.5714285714286,0,0,"http://rosettacode.org//wiki/100_doors",0,0.958090840432689,0.0400287468141709,0.00178281580013783
0,0,0,0,0,1,5,0,0,0,0,0,11,10,1,0,0,23.8181818181818,0,0,"http://rosettacode.org//wiki/100_doors",0.000638465843860121,0.969017273202524,0.0302423164646989,0
3,0,2,7,0,1,0,1,1,1,0,0,46,44,2,1,1,33.2608695652174,1,1.5,"http://rosettacode.org//wiki/Text_processing/2",0.0279597538377873,0.707014344219036,0.100717824292189,0.164365421808805
5,5,0,3,0,0,4,0,4,0,0,0,49,45,4,0,0,34.8367346938776,0,2,"http://rosettacode.org//wiki/24_game",0,0.802826467204689,0.183328385573763,0.0138215328360115
0,0,0,1,0,0,0,0,0,0,0,0,11,11,0,0,0,25,0,0,"http://rosettacode.org//wiki/99_Bottles_of_Beer",0,0.975515476472674,0.018924604749301,0.0054542082459412
0,0,0,0,0,0,1,0,1,0,0,0,10,9,0,0,1,35.1,0,2,"http://rosettacode.org//wiki/99_Bottles_of_Beer",0,0.867336019252808,0,0.132613697990822
1,0,3,0,0,0,0,0,1,0,0,0,3,2,1,0,0,118,0,0,"http://rosettacode.org//wiki/99_Bottles_of_Beer",0.00580160755137563,0.992966918661244,0.00112541763726294,0
0,0,0,1,0,0,0,0,0,0,0,0,20,20,0,0,0,24.25,0,1,"http://rosettacode.org//wiki/99_Bottles_of_Beer",0,0.939864930858346,0.0466124860217992,0.0134340562982329
1,0,1,1,0,0,6,1,1,0,0,0,16,16,0,0,0,28.9375,0,1,"http://rosettacode.org//wiki/99_Bottles_of_Beer",0,0.955709617798045,0.0343067610118016,0.00988745716388154
0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,37.4285714285714,0,0,"http://rosettacode.org//wiki/99_Bottles_of_Beer",0,0.99136016341237,0.00661887973930559,0.00190760911159041
0,0,0,0,0,0,11,1,2,0,0,0,54,34,20,1,1,30.5925925925926,1,0,"http://rosettacode.org//wiki/9_billion_names_of_God_the_integer",0.101109420662338,0.533732808967687,0.297505513006749,0.0678869755805921
0,0,0,0,0,0,0,4,0,0,0,0,10,10,0,0,0,24.5,0,0,"http://rosettacode.org/wiki/A%2BB",0,0.979476648207598,0.0158481734968022,0.00456755846235351
3,0,0,6,0,0,2,0,1,0,0,0,34,23,10,0,1,38.0588235294118,0,2,"http://rosettacode.org//wiki/ABC_Problem",0.0329074927762541,0.711353373310127,0.152911475406381,0.102891355286765
1,0,0,1,1,2,7,1,0,0,0,0,38,33,3,0,2,33.0789473684211,0,0,"http://rosettacode.org//wiki/ABC_Problem",0.00740785164090778,0.650069753465554,0.0597665652722801,0.282816957933124
0,0,0,0,0,0,12,0,2,0,0,0,68,68,0,0,0,24.8970588235294,0,0,"http://rosettacode.org//wiki/AKS_test_for_primes",0,0.749728687581949,0.194281186141774,0.055993245910451
6,0,3,4,0,0,10,8,2,0,0,0,25,23,0,0,2,26.72,0,1,"http://rosettacode.org//wiki/AKS_test_for_primes",0,0.7150294996637,0,0.284992749557779
2,0,2,2,0,0,3,3,1,0,0,0,6,6,0,0,0,45.6666666666667,0,0,"http://rosettacode.org//wiki/Abundant_deficient_and_perfect_number_classifications",0,0.995321335147297,0.00354244848680462,0.0010209593280021
3,0,3,2,0,0,3,4,1,0,0,0,7,7,0,0,0,44.5714285714286,0,0,"http://rosettacode.org//wiki/Abundant_deficient_and_perfect_number_classifications",0,0.99136016341237,0.00661887973930559,0.00190760911159041
11,0,3,12,0,1,18,24,2,0,0,0,54,51,0,0,3,23.1481481481481,0,1.66666666666667,"http://rosettacode.org//wiki/Abundant_deficient_and_perfect_number_classifications",0,0.508736519393003,0.040756640833601,0.450627324638458
0,0,0,1,0,0,2,1,0,0,0,0,9,9,0,0,0,19.6666666666667,0,1,"http://rosettacode.org//wiki/Accumulator_factory",0,0.983437819942522,0.0127717422443033,0.00368090867876581
0,0,0,0,1,0,2,0,0,0,0,0,3,3,0,0,0,30,0,2,"http://rosettacode.org//wiki/Ackermann_function",0,0.999883749689267,0,0
0,0,0,1,1,0,0,4,0,0,0,0,29,28,0,0,1,23.3448275862069,0,1,"http://rosettacode.org//wiki/Active_object",0,0.805398194418059,0.0374821980365659,0.157096296249936
0,0,0,0,0,0,1,3,0,0,0,0,3,3,2,2,0,24.6666666666667,2,0,"http://rosettacode.org//wiki/Add_a_variable_to_a_class_instance_at_runtime",0.0778614586421326,0.922159034254098,0,0
5,0,2,0,0,0,3,4,0,0,0,0,40,40,0,0,0,38.25,0,0,"http://rosettacode.org//wiki/Align_columns",0,0.860641496159849,0.108141111071787,0.03116705196999
0,0,0,1,2,0,0,1,2,0,0,2,56,52,5,1,0,40.0178571428571,1,0,"http://rosettacode.org//wiki/Align_columns",0.0276286526207935,0.749784892055822,0.204113016158939,0.0185084621960823
2,8,0,2,0,3,16,4,1,1,0,2,111,99,12,0,0,29.4504504504505,0,0,"http://rosettacode.org//wiki/Align_columns",0,0.51290485295767,0.469065909687694,0.0181430850459214
3,0,6,6,0,1,2,0,0,1,0,0,51,49,1,1,2,24.8235294117647,1,1,"http://rosettacode.org//wiki/Amb",0.027854806192338,0.593993460494586,0.0674666048443611,0.310797494317516
2,0,0,2,0,1,15,1,0,0,0,1,54,48,6,0,0,32.5555555555556,0,0,"http://rosettacode.org//wiki/Amicable_pairs",0,0.771938366859648,0.222460238451,0.00559209816081587
0,0,0,0,0,0,0,1,0,0,0,0,10,10,0,0,0,14.1,0,0,"http://rosettacode.org//wiki/Amicable_pairs",0,0.979476648207598,0.0158481734968022,0.00456755846235351
0,0,0,2,0,0,1,0,2,0,0,0,20,19,4,3,0,36.2,3,0,"http://rosettacode.org//wiki/Anagrams",0.119150079032843,0.837635469320413,0.0356272324495202,0.0076959675869346
0,0,0,0,0,0,0,0,0,0,0,0,25,22,3,0,0,31.28,0,0,"http://rosettacode.org//wiki/Anagrams",0.000820140041244721,0.902206291322809,0.0969035184953619,0
