"curly","dot.location","eqeqeq","vars.on.top","no.unused.vars","no.use.before.define","id.length","semi","max.len","max.statements","max.statements.per.line","no.bitwise","LOC","SLOC","comment","mixLOC","emptyLine","codePerLine","mixLOC.1","paremeter","Url","X1","X2","X3","X4","X5"
1,0,0,8,0,0,14,0,3,1,0,0,271,243,28,0,0,23.9372693726937,0,0,"http://rosettacode.org//wiki/Knapsack_problem/0-1",0,0,0,0.294887815955412,0.705613913674997
0,0,1,3,0,5,0,0,2,1,0,0,62,60,2,1,1,31.241935483871,1,1.5,"http://rosettacode.org//wiki/Text_processing/1",0.0419472792116106,0.466127051754891,0.117990298918481,0.372713254906083,0.00115484061277682
4,0,0,4,1,0,4,1,0,0,0,0,8,8,3,3,0,40.25,3,0,"http://rosettacode.org//wiki/100_doors",0.119852712494012,0.862216831004425,0,0.0179068450284299,0
0,0,0,0,0,2,12,2,0,0,0,0,36,31,5,0,0,31.75,0,0,"http://rosettacode.org//wiki/100_doors",0,0.732507017259795,0,0.129549844452708,0.137752806394104
0,0,0,2,0,0,0,0,0,0,0,1,6,6,0,0,0,25.5,0,0,"http://rosettacode.org//wiki/100_doors",0,0.958736199612994,0,0.0410494886593068,0
0,0,0,1,1,0,0,0,0,0,0,0,3,3,1,1,0,32,1,0,"http://rosettacode.org//wiki/100_doors",0.0399719725342469,0.956654826117896,0,0.00322435530190667,0
0,2,0,0,0,0,2,0,0,0,0,1,12,12,0,0,0,21.5833333333333,0,0,"http://rosettacode.org//wiki/100_doors",0,0.909473766460793,0,0.0903088750504883,0
0,0,0,0,0,4,7,0,0,0,0,0,28,28,0,0,0,24.8928571428571,0,0,"http://rosettacode.org//wiki/100_doors",0,0.778107278054933,0,0.221667238760299,0
0,0,0,0,0,1,5,0,0,0,0,0,14,13,1,0,0,23.5714285714286,0,0,"http://rosettacode.org//wiki/100_doors",0,0.897202483578186,0,0.0766398028493083,0.0259466231935326
0,0,0,0,0,1,5,0,0,0,0,0,11,10,1,0,0,23.8181818181818,0,0,"http://rosettacode.org//wiki/100_doors",0,0.921767234411002,0,0.0512748858699217,0.0267485922361769
3,0,2,7,0,1,0,1,1,1,0,0,46,44,2,1,1,33.2608695652174,1,1.5,"http://rosettacode.org//wiki/Text_processing/2",0.0416197564236735,0.59733025059442,0.117876336456562,0.23731374755307,0.00580168911692876
5,5,0,3,0,0,4,0,4,0,0,0,49,45,4,0,0,34.8367346938776,0,2,"http://rosettacode.org//wiki/24_game",0,0.622198253703703,0,0.272739322091398,0.104855784830989
0,0,0,1,0,0,0,0,0,0,0,0,11,11,0,0,0,25,0,0,"http://rosettacode.org//wiki/99_Bottles_of_Beer",0,0.917684171986158,0,0.0820989773186268,0
0,0,0,0,0,0,1,0,1,0,0,0,10,9,0,0,1,35.1,0,2,"http://rosettacode.org//wiki/99_Bottles_of_Beer",0,0.888762145308503,0.111125080864129,0,0
1,0,3,0,0,0,0,0,1,0,0,0,3,2,1,0,0,118,0,0,"http://rosettacode.org//wiki/99_Bottles_of_Beer",0,0.976229423184164,0,0,0.0235646738485179
0,0,0,1,0,0,0,0,0,0,0,0,20,20,0,0,0,24.25,0,1,"http://rosettacode.org//wiki/99_Bottles_of_Beer",0,0.843790522257863,0,0.155988056905394,0
1,0,1,1,0,0,6,1,1,0,0,0,16,16,0,0,0,28.9375,0,1,"http://rosettacode.org//wiki/99_Bottles_of_Beer",0,0.876632144359328,0,0.123148465977941,0
0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,37.4285714285714,0,0,"http://rosettacode.org//wiki/99_Bottles_of_Beer",0,0.950525794087632,0,0.0492593863911659,0
0,0,0,0,0,0,11,1,2,0,0,0,54,34,20,1,1,30.5925925925926,1,0,"http://rosettacode.org//wiki/9_billion_names_of_God_the_integer",0.0230697773437685,0.442910380897666,0.06137890572592,0,0.472627481713097
0,0,0,0,0,0,0,4,0,0,0,0,10,10,0,0,0,24.5,0,0,"http://rosettacode.org/wiki/A%2BB",0,0.925894577511523,0,0.0738890795867648,0
3,0,0,6,0,0,2,0,1,0,0,0,34,23,10,0,1,38.0588235294118,0,2,"http://rosettacode.org//wiki/ABC_Problem",0,0.670909134883288,0.0891278410425917,0,0.239884602280873
1,0,0,1,1,2,7,1,0,0,0,0,38,33,3,0,2,33.0789473684211,0,0,"http://rosettacode.org//wiki/ABC_Problem",0,0.687075397943504,0.234584851753268,0.0075106148076862,0.0708354224061741
0,0,0,0,0,0,12,0,2,0,0,0,68,68,0,0,0,24.8970588235294,0,0,"http://rosettacode.org//wiki/AKS_test_for_primes",0,0.449691057040282,0,0.550063148034826,0
6,0,3,4,0,0,10,8,2,0,0,0,25,23,0,0,2,26.72,0,1,"http://rosettacode.org//wiki/AKS_test_for_primes",0,0.7674460429115,0.232545909232479,0,0
2,0,2,2,0,0,3,3,1,0,0,0,6,6,0,0,0,45.6666666666667,0,0,"http://rosettacode.org//wiki/Abundant_deficient_and_perfect_number_classifications",0,0.958736199612994,0,0.0410494886593068,0
3,0,3,2,0,0,3,4,1,0,0,0,7,7,0,0,0,44.5714285714286,0,0,"http://rosettacode.org//wiki/Abundant_deficient_and_perfect_number_classifications",0,0.950525794087632,0,0.0492593863911659,0
11,0,3,12,0,1,18,24,2,0,0,0,54,51,0,0,3,23.1481481481481,0,1.66666666666667,"http://rosettacode.org//wiki/Abundant_deficient_and_perfect_number_classifications",0,0.531365341380329,0.353931940010527,0.114792246199286,0
0,0,0,1,0,0,2,1,0,0,0,0,9,9,0,0,0,19.6666666666667,0,1,"http://rosettacode.org//wiki/Accumulator_factory",0,0.934104983036888,0,0.0656791818549031,0
0,0,0,0,1,0,2,0,0,0,0,0,3,3,0,0,0,30,0,2,"http://rosettacode.org//wiki/Ackermann_function",0,0.983367416189103,0,0.0164197954637069,0
0,0,0,1,1,0,0,4,0,0,0,0,29,28,0,0,1,23.3448275862069,0,1,"http://rosettacode.org//wiki/Active_object",0,0.758815987110954,0.117918738495073,0.123148629270353,0
0,0,0,0,0,0,1,3,0,0,0,0,3,3,2,2,0,24.6666666666667,2,0,"http://rosettacode.org//wiki/Add_a_variable_to_a_class_instance_at_runtime",0.079579083350426,0.920335741535567,0,0,0
5,0,2,0,0,0,3,4,0,0,0,0,40,40,0,0,0,38.25,0,0,"http://rosettacode.org//wiki/Align_columns",0,0.679582411750543,0,0.320186011542651,0
0,0,0,1,2,0,0,1,2,0,0,2,56,52,5,1,0,40.0178571428571,1,0,"http://rosettacode.org//wiki/Align_columns",0.0348394527221975,0.541377227259854,0,0.3209454235786,0.102681868410804
2,8,0,2,0,3,16,4,1,1,0,2,111,99,12,0,0,29.4504504504505,0,0,"http://rosettacode.org//wiki/Align_columns",0,0.145418816070033,0,0.530748907174507,0.323656336976267
3,0,6,6,0,1,2,0,0,1,0,0,51,49,1,1,2,24.8235294117647,1,1,"http://rosettacode.org//wiki/Amb",0.0351027298532206,0.543434881833853,0.235712745488063,0.185786433496022,0
2,0,0,2,0,1,15,1,0,0,0,1,54,48,6,0,0,32.5555555555556,0,0,"http://rosettacode.org//wiki/Amicable_pairs",0,0.588980022210134,0,0.248464508934331,0.162362814516563
0,0,0,0,0,0,0,1,0,0,0,0,10,10,0,0,0,14.1,0,0,"http://rosettacode.org//wiki/Amicable_pairs",0,0.925894577511523,0,0.0738890795867648,0
0,0,0,2,0,0,1,0,2,0,0,0,20,19,4,3,0,36.2,3,0,"http://rosettacode.org//wiki/Anagrams",0.126050664904253,0.76614667214732,0,0.107782089160692,0
0,0,0,0,0,0,0,0,0,0,0,0,25,22,3,0,0,31.28,0,0,"http://rosettacode.org//wiki/Anagrams",0,0.814854750418996,0,0.103094823651002,0.0818497147938185
0,0,0,4,3,0,1,0,2,1,0,0,41,41,0,0,0,38.9268292682927,0,5,"http://rosettacode.org//wiki/Animate_a_pendulum",0,0.671372006225178,0,0.328395909274513,0
4,0,1,8,3,2,1,0,0,0,0,0,50,44,5,5,6,21.98,5,0,"http://rosettacode.org//wiki/Animate_a_pendulum",0.180275964979982,0.175224603259104,0.645150944515243,0,0
2,0,0,0,1,0,0,0,0,0,0,0,16,16,1,1,0,30.375,1,1,"http://rosettacode.org//wiki/Animation",0.0391503061207757,0.850429318813168,0,0.110263483896662,0
0,0,0,0,1,0,2,0,0,0,0,0,8,8,0,0,0,24.75,0,1,"http://rosettacode.org//wiki/Anonymous_recursion",0,0.942315388562264,0,0.0574692841230307,0
0,0,0,0,1,0,2,0,0,0,0,0,8,8,0,0,0,22,0,1,"http://rosettacode.org//wiki/Anonymous_recursion",0,0.942315388562264,0,0.0574692841230307,0
0,0,0,1,0,0,3,0,0,0,0,0,10,10,0,0,0,18.3,0,2,"http://rosettacode.org//wiki/Apply_a_callback_to_an_array",0,0.925894577511523,0,0.0738890795867648,0
0,0,0,0,0,0,1,0,0,0,0,0,3,3,0,0,0,17.6666666666667,0,0,"http://rosettacode.org//wiki/Apply_a_callback_to_an_array",0,0.983367416189103,0,0.0164197954637069,0
0,0,0,0,0,0,2,1,0,0,0,0,4,4,0,0,0,15.5,0,0,"http://rosettacode.org//wiki/Apply_a_callback_to_an_array",0,0.975157010663735,0,0.0246296931955717,0
0,0,0,0,0,0,0,1,0,0,0,0,9,9,0,0,0,24.4444444444444,0,2,"http://rosettacode.org//wiki/Arithmetic-geometric_mean",0,0.934104983036888,0,0.0656791818549031,0
0,0,1,7,1,6,11,0,2,1,0,0,50,45,0,0,5,29.4,0,1,"http://rosettacode.org//wiki/Arithmetic_evaluation",0,0.437797803939456,0.562489235990129,0,0
0,0,0,0,0,0,1,0,0,0,0,0,10,10,2,2,0,22.2,2,1,"http://rosettacode.org//wiki/Averages/Arithmetic_mean",0.0796279195248509,0.872665460647988,0,0.0476176062171968,0
0,0,0,0,0,0,0,0,0,0,0,0,8,8,1,1,0,23.125,1,1,"http://rosettacode.org//wiki/Averages/Arithmetic_mean",0.0396559469906042,0.915798861769929,0,0.0443932509152691,0
0,0,0,0,0,0,1,0,0,0,0,0,8,8,2,2,0,26,2,1,"http://rosettacode.org//wiki/Averages/Arithmetic_mean",0.079754329742308,0.889007846387173,0,0.0311500479718534,0
0,0,0,0,0,0,1,1,0,0,0,0,8,8,2,2,0,27.625,2,0,"http://rosettacode.org//wiki/Averages/Arithmetic_mean",0.079754329742308,0.889007846387173,0,0.0311500479718534,0
0,0,0,0,1,0,1,0,0,0,0,0,3,3,0,0,0,28.3333333333333,0,1,"http://rosettacode.org//wiki/Averages/Arithmetic_mean",0,0.983367416189103,0,0.0164197954637069,0
0,0,0,0,1,0,3,0,0,0,0,0,3,3,1,1,0,25,1,0,"http://rosettacode.org//wiki/Array_concatenation",0.0399719725342469,0.956654826117896,0,0.00322435530190667,0
0,0,0,0,0,0,0,0,0,0,0,0,14,13,1,0,0,20.7857142857143,0,0,"http://rosettacode.org//wiki/Array_concatenation",0,0.897202483578186,0,0.0766398028493083,0.0259466231935326
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,40,0,0,"http://rosettacode.org//wiki/Array_length",0,0.999788227239816,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,3,3,0,0,0,17.3333333333333,0,1,"http://rosettacode.org//wiki/Array_length",0,0.983367416189103,0,0.0164197954637069,0
