"curly","dot.location","eqeqeq","vars.on.top","no.unused.vars","no.use.before.define","id.length","semi","max.len","max.statements","max.statements.per.line","no.bitwise","LOC","SLOC","comment","mixLOC","emptyLine","codePerLine","mixLOC.1","paremeter","Url","X1","X2","X3","X4","X5","X6"
1,0,0,8,0,0,14,0,3,1,0,0,271,243,28,0,0,23.9372693726937,0,0,"http://rosettacode.org//wiki/Knapsack_problem/0-1",0.987797769708903,0.011120523532751,0,0,0,0
0,0,1,3,0,5,0,0,2,1,0,0,62,60,2,1,1,31.241935483871,1,1.5,"http://rosettacode.org//wiki/Text_processing/1",0.00737756898827368,0.359654350512839,0,0.474968476549174,0.0412627861069838,0.116412818744421
4,0,0,4,1,0,4,1,0,0,0,0,8,8,3,3,0,40.25,3,0,"http://rosettacode.org//wiki/100_doors",0,0.0208594548964085,0,0.858859983051933,0.120240424019211,0
0,0,0,0,0,2,12,2,0,0,0,0,36,31,5,0,0,31.75,0,0,"http://rosettacode.org//wiki/100_doors",0,0.219840684062956,0.140346626169728,0.639296310632618,0,6.56171177950726e-19
0,0,0,2,0,0,0,0,0,0,0,1,6,6,0,0,0,25.5,0,0,"http://rosettacode.org//wiki/100_doors",0,0.041211863212936,0,0.958647236422867,0,0
0,0,0,1,1,0,0,0,0,0,0,0,3,3,1,1,0,32,1,0,"http://rosettacode.org//wiki/100_doors",0,0.00419918835342036,0,0.955620101748333,0.0400987596183849,0
0,2,0,0,0,0,2,0,0,0,0,1,12,12,0,0,0,21.5833333333333,0,0,"http://rosettacode.org//wiki/100_doors",0,0.0906660990684409,0,0.909151532908574,0,0
0,0,0,0,0,4,7,0,0,0,0,0,28,28,0,0,0,24.8928571428571,0,0,"http://rosettacode.org//wiki/100_doors",0,0.222544061349816,0,0.777162990203763,0,0
0,0,0,0,0,1,5,0,0,0,0,0,14,13,1,0,0,23.5714285714286,0,0,"http://rosettacode.org//wiki/100_doors",0,0.0937986918668606,0.0266048387000005,0.879368577187581,5.12441497307525e-18,0
0,0,0,0,0,1,5,0,0,0,0,0,11,10,1,0,0,23.8181818181818,0,0,"http://rosettacode.org//wiki/100_doors",0,0.0688834143397326,0.0273370819669731,0.903571382064296,5.30382506478334e-19,0
3,0,2,7,0,1,0,1,1,1,0,0,46,44,2,1,1,33.2608695652174,1,1.5,"http://rosettacode.org//wiki/Text_processing/2",0.0123298016636422,0.218075317617701,0,0.611936200722741,0.0410943018404091,0.116354176113729
5,5,0,3,0,0,4,0,4,0,0,0,49,45,4,0,0,34.8367346938776,0,2,"http://rosettacode.org//wiki/24_game",0,0.34197439743127,0.107395679155966,0.550063747198233,3.94068984690358e-21,0
0,0,0,1,0,0,0,0,0,0,0,0,11,11,0,0,0,25,0,0,"http://rosettacode.org//wiki/99_Bottles_of_Beer",0,0.0824237264258596,0,0.91740081682762,0,0
