"no.cond.assign","no.constant.condition","no.empty","no.irregular.whitespace","complexity","curly","dot.location","eqeqeq","vars.on.top","no.undef","no.unused.vars","no.use.before.define","id.length","semi","max.depth","max.len","max.params","max.statements","max.statements.per.line","no.bitwise","LOC","SLOC","comment","mixLOC","emptyLine","mixLOC.1","codePerLine","paremeter","Url","X1","X2","X3","X4","X5"
3,0,0,0,1,0,0,1,7,0,1,6,11,0,0,3,0,3,0,0,50,45,0,0,5,0,29.4,1,"http://rosettacode.org//wiki/Arithmetic_evaluation",0,0.998431485742977,0,0,0
1,0,0,0,0,1,1,0,1,2,0,0,1,0,0,4,0,0,0,0,10,10,1,1,0,1,41.1,0,"http://rosettacode.org//wiki/Rosetta_Code/Fix_code_tags",0,0.294564934613444,0.0125367614236457,0.691879074207254,0
1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,0,1,0,0,24,17,7,0,0,0,35.45833333,1,"http://rosettacode.org//wiki/Read_a_configuration_file",0,0.446115813435469,0,0.552644183355391,0
1,0,0,0,0,2,0,0,7,2,0,0,8,0,0,0,0,1,0,0,17,17,0,0,0,0,26.64705882,1,"http://rosettacode.org//wiki/Sorting_algorithms/Shell_sort",0.0748040812263606,0.367409466940197,0,0.556346552334716,0
1,0,0,0,0,0,0,2,0,6,0,0,1,10,0,4,0,0,0,2,20,16,4,0,0,0,47.1,0,"http://rosettacode.org//wiki/String_matching",0.1007961652451,0.210153750190349,0,0.687750210075711,0
0,1,1,0,1,3,0,6,6,0,0,1,2,0,0,1,0,3,0,0,51,49,1,1,2,1,24.82352941,1,"http://rosettacode.org//wiki/Amb",0.219539943993254,0,0,0.404875415280702,0.375351534654797
0,0,1,0,1,2,0,2,14,5,0,0,11,5,2,4,0,3,1,0,90,90,0,0,0,0,29.77777778,0,"http://rosettacode.org/wiki/Conway%27s_Game_of_Life",0,0,0,0,1.00327957622567
0,0,1,0,2,4,0,2,16,7,2,3,17,9,2,8,1,4,1,0,123,115,6,0,2,0,32.12195122,1.333333333,"http://rosettacode.org/wiki/Conway%27s_Game_of_Life",0,0,0,0,1.00412353424265
0,0,1,0,0,1,0,0,1,0,1,0,8,0,0,2,0,0,0,0,16,13,3,0,0,0,26.25,1,"http://rosettacode.org//wiki/Reverse_a_string",0,0,0,0.661259234273846,0.339308313878253
0,0,0,5,0,0,8,0,1,0,0,2,9,1,0,1,0,1,0,0,63,57,6,0,0,0,26.87301587,0,"http://rosettacode.org//wiki/Find_the_last_Sunday_of_each_month",0,0,0.937725355305471,0.0618198756430254,0
0,0,0,5,0,1,8,0,1,0,0,5,11,3,0,4,0,1,0,0,78,68,10,0,0,0,32.47435897,0,"http://rosettacode.org//wiki/Long_multiplication",0.00112372400240062,0,0.998438568094725,0,0
0,0,0,3,2,3,0,3,10,5,1,0,14,0,0,23,0,3,0,0,142,109,30,1,4,1,34.1056338,2,"http://rosettacode.org//wiki/Brownian_tree",0.499588821318577,0.146450954403204,0.350546339527493,0,0.000830020650825953
0,0,0,3,0,0,9,0,2,0,1,2,17,1,0,5,0,1,0,0,79,71,8,0,0,0,32.43037975,0,"http://rosettacode.org/wiki/Pascal%27s_triangle",0.0215598356832991,0.146095319799876,0.723415235628009,0.107204365751057,0.000908570440984327
0,0,0,3,0,0,1,0,0,0,0,4,6,3,0,1,0,1,0,0,34,28,6,0,0,0,30.08823529,0,"http://rosettacode.org//wiki/Permutations",0,0.0649683928517436,0.503604004057162,0.430346128423534,0.000454194056073566
0,0,0,3,0,0,1,0,1,0,0,0,4,1,0,2,0,1,0,0,54,51,9,6,0,6,26.87037037,0,"http://rosettacode.org//wiki/Averages/Pythagorean_means",0,0,0.429152562390548,0.568989303900254,0.00132283708093214
0,0,0,3,0,0,3,0,0,0,0,0,5,1,0,1,0,0,0,0,30,26,4,0,0,0,26.66666667,0,"http://rosettacode.org//wiki/Remove_duplicate_elements",0,0,0.480776128231065,0.518716635101709,0
0,0,0,3,2,0,4,0,4,0,0,2,4,0,0,5,0,2,0,0,98,87,12,1,0,1,32.54081633,0,"http://rosettacode.org//wiki/Tree_traversal",0.145513762802683,0.1090697132577,0.54253289835125,0.190457479955339,0.0111891846545351
0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,17,14,3,0,0,0,29.05882353,0,"http://rosettacode.org//wiki/Catamorphism",0,0,0.260062214414947,0.739393637835619,0
0,0,0,2,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,17,15,2,0,0,0,25.23529412,0,"http://rosettacode.org//wiki/Day_of_the_week",0,0,0.349281108442811,0.650193198902026,0
0,0,0,2,0,1,1,0,0,0,0,1,7,0,0,0,0,0,0,0,18,16,2,0,0,0,22.55555556,0,"http://rosettacode.org//wiki/Factorial",0,0,0.317417134016887,0.682033103285949,0
0,0,0,2,0,0,7,0,1,0,0,0,10,0,0,0,0,1,0,0,46,44,2,0,0,0,29.69565217,0,"http://rosettacode.org//wiki/Five_weekends",0,0,0.490240073015973,0.507130198528008,0.00210406858959528
0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,28,26,2,0,0,0,20.17857143,0,"http://rosettacode.org//wiki/Flatten_a_list",0,0,0.276772499401814,0.722684242994528,0
0,0,0,2,0,1,2,0,1,0,0,0,8,1,0,1,0,1,0,0,34,30,4,0,0,0,26.41176471,0,"http://rosettacode.org//wiki/Function_composition",0.039931229736079,0,0.335964257370525,0.622195010437847,0.00119927370085247
0,0,0,2,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,26,22,4,0,0,0,24.42307692,0,"http://rosettacode.org//wiki/Loop_over_multiple_arrays_simultaneously",0,0,0.317199974346716,0.682270281342491,0
0,0,0,2,0,0,0,0,0,0,0,5,10,0,0,0,0,1,0,0,57,48,9,0,0,0,25.22807018,0,"http://rosettacode.org//wiki/Matrix_multiplication",0,0.160023470466834,0.362631403255646,0.476554573113505,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,1,0,0,0,20.78571429,0,"http://rosettacode.org//wiki/Array_concatenation",0,0,0.124572119081979,0.874867108918892,0
0,0,0,1,0,0,0,4,0,13,0,0,0,2,0,13,0,0,0,0,45,31,39,25,0,25,59.28888889,0,"http://rosettacode.org//wiki/Binary_strings",0.198174784084244,0,0.122260952715716,0.678195841758876,0
0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,9,6,4,1,0,1,42.77777778,1,"http://rosettacode.org//wiki/Determine_if_a_string_is_numeric",0,0,0.129749127894128,0.869680813508274,0
0,0,0,1,0,1,5,0,1,0,0,2,7,0,0,0,0,0,0,0,56,52,4,0,0,0,28.23214286,0,"http://rosettacode.org//wiki/Roman_numerals/Encode",0.0103801354608136,0,0.328756535657458,0.66027112176485,0
0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,4,3,1,0,0,0,34.25,1,"http://rosettacode.org//wiki/Flatten_a_list",0,0.053863469793683,0.120944963376052,0.82454117061358,0
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,24,23,1,0,0,0,18.79166667,0,"http://rosettacode.org//wiki/Flatten_a_list",0,0,0.129076207129712,0.870357831678985,0
0,0,0,1,0,0,1,0,0,0,0,0,4,0,0,1,0,0,0,0,22,21,1,0,0,0,27,0,"http://rosettacode.org//wiki/Largest_int_from_concatenated_ints",0,0,0.165840346732756,0.833593543646654,0
0,0,0,1,0,0,1,0,0,0,0,6,10,2,0,3,0,0,0,0,26,20,9,3,0,3,31.19230769,0,"http://rosettacode.org//wiki/List_comprehensions",0,0.192870476219919,0.283089693474686,0.523188954330372,0
0,0,0,1,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,14,13,1,0,0,0,23.71428571,1,"http://rosettacode.org//wiki/Pangram_checker",0,0,0.218474018616792,0.780979464393433,0
