curly,dot-location,eqeqeq,vars-on-top,no-unused-vars,no-use-before-define,id-length,semi,max-len,max-statements,no-bitwise,LOC,NCLOC,codePerLine,emptyLine,mixLOC,paremeter,mostDepth,Url
1,0,0,8,0,0,14,0,3,1,0,271,28,23.937269372693727,0,0,0,1,http://rosettacode.org//wiki/Knapsack_problem/0-1
0,0,1,3,0,5,0,0,2,1,0,62,2,31.241935483870968,1,1,1.5,1,http://rosettacode.org//wiki/Text_processing/1
4,0,0,4,1,0,4,1,0,0,0,8,3,40.25,0,3,0,1,http://rosettacode.org//wiki/100_doors
0,0,0,0,0,2,12,2,0,0,0,36,5,31.75,0,0,0,1,http://rosettacode.org//wiki/100_doors
0,0,0,2,0,0,0,0,0,0,1,6,0,25.5,0,0,0,1,http://rosettacode.org//wiki/100_doors
0,0,0,1,1,0,0,0,0,0,0,3,1,32,0,1,0,1,http://rosettacode.org//wiki/100_doors
0,2,0,0,0,0,2,0,0,0,1,12,0,21.583333333333332,0,0,0,1,http://rosettacode.org//wiki/100_doors
0,0,0,0,0,4,7,0,0,0,0,28,0,24.892857142857142,0,0,0,1,http://rosettacode.org//wiki/100_doors
0,0,0,0,0,1,5,0,0,0,0,14,1,23.571428571428573,0,0,0,1,http://rosettacode.org//wiki/100_doors
0,0,0,0,0,1,5,0,0,0,0,11,1,23.818181818181817,0,0,0,1,http://rosettacode.org//wiki/100_doors
3,0,2,7,0,1,0,1,1,1,0,46,2,33.26086956521739,1,1,1.5,1,http://rosettacode.org//wiki/Text_processing/2
5,5,0,3,0,0,4,0,4,0,0,49,4,34.83673469387755,0,0,2,1,http://rosettacode.org//wiki/24_game
0,0,0,1,0,0,0,0,0,0,0,11,0,25,0,0,0,1,http://rosettacode.org//wiki/99_Bottles_of_Beer
0,0,0,0,0,0,1,0,1,0,0,10,0,35.1,1,0,2,1,http://rosettacode.org//wiki/99_Bottles_of_Beer
1,0,3,0,0,0,0,0,1,0,0,3,1,118,0,0,0,1,http://rosettacode.org//wiki/99_Bottles_of_Beer
0,0,0,1,0,0,0,0,0,0,0,20,0,24.25,0,0,1,1,http://rosettacode.org//wiki/99_Bottles_of_Beer
1,0,1,1,0,0,6,1,1,0,0,16,0,28.9375,0,0,1,1,http://rosettacode.org//wiki/99_Bottles_of_Beer
0,0,0,0,0,0,0,0,0,0,0,7,0,37.42857142857143,0,0,0,1,http://rosettacode.org//wiki/99_Bottles_of_Beer
0,0,0,0,0,0,11,1,2,0,0,54,20,30.59259259259259,1,1,0,1,http://rosettacode.org//wiki/9_billion_names_of_God_the_integer
